V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	LocationLatitude	LocationLongitude	LocationAccuracy	
ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	IPAddress	Status	StartDate	EndDate	Finished	Researchers from The University of Auckland are conducting a short survey on demographics and dec...	In which country do you currently live?	In which country were you born?	 What is your first language?	Which best describes you?	Are you male or female?	What year were you born?	What is the highest level of school you have completed or the highest degree you have received?	"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber..."	Who is the email sent to?	"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber..."	Which department is holding the meeting prior to the conference call?	Please paste your Mechanical Turk Worker ID in the box below (find you Worker ID here: www.mturk....	 Below is your completion code. Please copy this and paste into the box below it; also paste it i...	LocationLatitude	LocationLongitude	LocationAccuracy	
R_1gT6FNYMcWHDTsF	Default Response Set	Anonymous			68.177.193.242	0	19/09/15 20:31	19/09/15 20:41	1	1	185	185	13	1	2	63	5	1	2	1	6	A3SVK417AKKIAX	N9TT9G0AB7FQRANC	31.59179688	-110.1718979	-1	
R_2zoN8vm9uTg3BXT	Default Response Set	Anonymous			50.141.78.138	0	19/09/15 20:58	19/09/15 20:59	1	1	185	92	13	4	1	74	3	1	2	1	3	A3KSWHBE20JXZV	N9TT9G0AB7FQRANC	41.55000305	-88.12480164	-1	
R_2wTZyy6EU4iepnN	Default Response Set	Anonymous			50.141.78.138	0	19/09/15 21:27	19/09/15 21:28	1	1	185	92	13	4	1	74	3	1	2	1	3	A3KSWHBE20JXZV	N9TT9G0AB7FQRANC	41.55000305	-88.12480164	-1	
R_3juOHJRb2AxSW1X	Default Response Set	Anonymous			79.113.76.2	0	19/09/15 22:48	19/09/15 22:51	1	1	142	142	41	1	1	71	6	1	2	1	6	A1CF8UAT2GVF4R	N9TT9G0AB7FQRANC	45.74940491	21.22720337	-1	
R_31GhK3B9kOkioR0	Default Response Set	Anonymous			66.57.248.155	0	19/09/15 23:57	20/09/15 0:01	1	1	185	185	13	2	1	62	3	1	2	1	6	AHBZRUOTJTXAL	N9TT9G0AB7FQRANC	35.58479309	-78.24610138	-1	
R_1ohG870uVbDY8OU	Default Response Set	Anonymous			50.187.190.14	0	24/09/15 0:11	24/09/15 0:14	1	1	185	185	13	1	1	64	2	1	2	1	6	A2G2I4FY3SE85V	N9TT9G0AB7FQRANC	42.63420105	-72.6026001	-1	1
R_dbUXXFEJZFV0mvT	Default Response Set	Anonymous			91.204.173.182	0	24/09/15 0:11	24/09/15 0:15	1	1	185	66	13	1	2	69	3	1	2	1	6	A2Y6XN815D6KMP	N9TT9G0AB7FQRANC	0	0	-1	1
R_2wzZvO5EbohXEZz	Default Response Set	Anonymous			66.41.78.147	0	24/09/15 0:13	24/09/15 0:18	1	1	185	185	13	1	1	59	5	1	2	1	6	A25AEO5F6K3XZ5	N9TT9G0AB7FQRANC	44.93580627	-93.1631012	-1	1
R_1kUNhOyMaGXM4Zq	Default Response Set	Anonymous			188.173.67.228	0	24/09/15 0:35	24/09/15 0:39	1	1	142	142	41	1	1	76	3	1	2	1	3	A3QYA47F81WTDS	N9TT9G0AB7FQRANC	43.88330078	25.96670532	-1	1
R_3CTbjYUPjBpwr9G	Default Response Set	Anonymous			67.241.242.108	0	24/09/15 2:51	24/09/15 2:54	1	1	185	185	13	1	1	71	5	1	2	1	6	A1XLOY56OMHTTD	N9TT9G0AB7FQRANC	42.14599609	-76.09089661	-1	1
