V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Researchers from The University of Auckland are conducting a short survey on demographics and dec...,In which country do you currently live?,In which country were you born?, What is your first language?,Which best describes you?,Are you male or female?,What year were you born?,What is the highest level of school you have completed or the highest degree you have received?,"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber...",Who is the email sent to?,"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber...",Which department is holding the meeting prior to the conference call?,Please paste your Mechanical Turk Worker ID in the box below (find you Worker ID here: www.mturk...., Below is your completion code. Please copy this and paste into the box below it; also paste it i...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2CfaSn5yj0s5SIN,Default Response Set,Anonymous,,,207.181.215.35,0,2015-09-30 01:46:31,2015-09-30 01:53:53,1,1,185,185,13,1,2,68,6,1,2,1,6,A1GGFHLS2BMWWD,N9TT9G0AB7FQRANC,41.928802490234,-87.631500244141,-1,
R_1g0D32QtuHtR8C6,Default Response Set,Anonymous,,,173.240.39.251,0,2015-09-30 02:59:25,2015-09-30 03:05:01,1,1,185,185,13,1,2,69,4,1,2,1,6,A1MDGF1ZBVLCT7,N9TT9G0AB7FQRANC,40.551193237305,-109.56960296631,-1,
R_2znz02v2BOzWONI,Default Response Set,Anonymous,,,209.58.128.140,0,2015-09-30 05:37:17,2015-09-30 05:40:19,1,1,185,185,13,1,1,70,5,1,2,1,6,A39J5O71R4UGWT,N9TT9G0AB7FQRANC,37.387405395508,-121.90240478516,-1,
R_2QVyoUZDE8lA252,Default Response Set,Anonymous,,,111.92.46.233,0,2015-09-30 06:41:17,2015-09-30 06:44:35,1,1,78,78,35,4,1,74,5,1,2,1,2,AGWB3ZV4DQI5Z,N9TT9G0AB7FQRANC,8.5068969726562,76.956909179688,-1,
R_1LhQgEW691P8kUx,Default Response Set,Anonymous,,,207.244.72.195,0,2015-09-30 07:27:55,2015-09-30 07:30:46,1,1,185,185,13,1,2,61,5,1,2,1,2,A35GA8H4BB6DTU,N9TT9G0AB7FQRANC,38.793197631836,-77.536598205566,-1,
R_1i4BoysOsZt2i0t,Default Response Set,Anonymous,,,70.120.237.39,0,2015-09-30 07:35:45,2015-09-30 07:40:08,1,1,185,185,13,3,1,62,4,1,2,1,6,ADAP5JXC5K87G,N9TT9G0AB7FQRANC,31.761703491211,-106.48580169678,-1,
R_26i64WXlRfivMGK,Default Response Set,Anonymous,,,129.3.166.241,0,2015-09-30 08:46:20,2015-09-30 08:48:13,1,1,185,185,13,1,1,75,5,1,2,1,6,A3Q0O1WXYAI32T,N9TT9G0AB7FQRANC,43.446395874023,-76.397102355957,-1,
R_2w0G3eefSM6f75O,Default Response Set,Anonymous,,,162.229.112.32,0,2015-09-30 10:02:14,2015-09-30 10:06:26,1,1,185,185,13,2,2,68,3,1,2,1,6,ATZXWS26WMPLE,N9TT9G0AB7FQRANC,29.693893432617,-95.526100158691,-1,
R_2uQIh3LCYojUq5s,Default Response Set,Anonymous,,,70.44.128.47,0,2015-09-30 11:49:14,2015-09-30 11:52:17,1,1,185,185,13,1,2,60,6,1,2,1,2, A2G7YPTMCBVJLM,N9TT9G0AB7FQRANC,41.188003540039,-75.380401611328,-1,
R_2gyeCgkmgghoC9X,Default Response Set,Anonymous,,,67.187.87.239,0,2015-09-30 12:09:47,2015-09-30 12:15:13,1,1,185,185,13,1,2,56,5,1,2,1,6,A1CPENXGW2SE8Q,N9TT9G0AB7FQRANC,35.981704711914,-84.128997802734,-1,
R_SMMUC9nDcdbljS9,Default Response Set,Anonymous,,,68.184.44.207,0,2015-09-30 13:17:01,2015-09-30 13:19:23,1,1,185,185,28,4,1,74,3,1,2,1,6,AGT3HB09NLJ8M,N9TT9G0AB7FQRANC,42.05810546875,-71.846603393555,-1,
R_3e3lAOuYlbPx7xN,Default Response Set,Anonymous,,,71.85.236.135,0,2015-09-30 13:20:06,2015-09-30 13:23:14,1,1,185,185,13,5,1,60,3,1,2,1,6,A3IVMLE5FNMO6B,N9TT9G0AB7FQRANC,38.580505371094,-90.274398803711,-1,
R_21ogKqRZ3QRCWme,Default Response Set,Anonymous,,,24.228.117.85,0,2015-09-30 13:17:03,2015-09-30 13:27:05,1,1,185,185,13,3,2,69,5,1,2,1,3,A1TH8BPVJXIHDR,N9TT9G0AB7FQRANC,40.868499755859,-73.839401245117,-1,
R_3KZPEHDtF5XrK1b,Default Response Set,Anonymous,,,71.85.236.135,0,2015-09-30 13:45:25,2015-09-30 13:48:02,1,1,185,185,13,1,2,60,3,1,2,1,6,A3IVMLE5FNMO6B,N9TT9G0AB7FQRANC,38.580505371094,-90.274398803711,-1,
R_3k62nHMTWPB1MKR,Default Response Set,Anonymous,,,68.119.225.43,0,2015-09-30 14:26:58,2015-09-30 14:29:41,1,1,185,185,13,1,2,72,4,1,2,1,2,A1AQ5DP3XBQKFG,N9TT9G0AB7FQRANC,36.142501831055,-81.163497924805,-1,
R_3IXjsgpVZwBU534,Default Response Set,Anonymous,,,73.7.103.244,0,2015-09-30 14:50:23,2015-09-30 14:55:08,1,1,185,185,13,1,2,51,7,1,2,1,6,A1B50NHN0OW0LU,N9TT9G0AB7FQRANC,34.306701660156,-85.269996643066,-1,
R_2z6oTAL6VMXC5MG,Default Response Set,Anonymous,,,107.178.37.172,0,2015-09-30 15:22:51,2015-09-30 15:26:06,1,1,185,185,13,1,2,71,3,1,2,1,6,A3IMWVZHIVIKKW,N9TT9G0AB7FQRANC,37.25390625,-122.06379699707,-1,
R_27v4CztHhEKj5dh,Default Response Set,Anonymous,,,32.211.160.189,0,2015-09-30 15:32:30,2015-09-30 15:35:53,1,1,185,185,13,1,2,48,5,1,2,1,6,AB5H5PNIHV61O,N9TT9G0AB7FQRANC,41.581100463867,-71.95539855957,-1,
R_1pKXx1pewnkrVAn,Default Response Set,Anonymous,,,72.182.27.68,0,2015-09-30 15:55:31,2015-09-30 15:57:30,1,1,185,185,13,1,1,66,5,1,2,1,6,A13IWL6N597GCD,N9TT9G0AB7FQRANC,30.207595825195,-97.858703613281,-1,
R_2AGZnEV9m89yuNP,Default Response Set,Anonymous,,,73.165.38.248,0,2015-09-30 17:30:10,2015-09-30 17:31:09,1,1,185,185,13,1,2,69,6,1,2,1,6,A3VD7MZYFRM455,N9TT9G0AB7FQRANC,39.940704345703,-75.228103637695,-1,
R_3fTM5lTYaturzKL,Default Response Set,Anonymous,,,73.165.38.248,8,2015-09-30 17:34:01,2015-09-30 17:36:10,1,1,185,185,13,1,2,69,6,1,2,1,6,A3VD7MZYFRM455,N9TT9G0AB7FQRANC,39.940704345703,-75.228103637695,-1,
R_1q9ZbKo5e5N1yQC,Default Response Set,Anonymous,,,159.118.41.46,0,2015-09-30 19:35:27,2015-09-30 19:41:04,1,1,185,185,13,1,2,52,2,1,2,1,6,A32EYT2A3L1HYI,N9TT9G0AB7FQRANC,33.638305664062,-96.724502563477,-1,
R_3m3k03xnqjA8ciD,Default Response Set,Anonymous,,,104.8.3.46,0,2015-09-30 21:14:05,2015-09-30 21:17:12,1,1,185,185,13,1,1,61,3,1,2,1,6,A12U0KA8URI018,N9TT9G0AB7FQRANC,37.809097290039,-122.27020263672,-1,
R_3HRKJdxi7usFWfM,Default Response Set,Anonymous,,,85.154.227.251,0,2015-10-01 00:27:42,2015-10-01 00:32:19,1,1,131,78,13,6,2,72,3,1,2,1,6,A3RCSWF9HZSJVS,N9TT9G0AB7FQRANC,21,57,-1,
R_CdmciAHsuiYdrq1,Default Response Set,Anonymous,,,108.74.164.96,0,2015-10-01 04:16:11,2015-10-01 04:18:39,1,1,185,185,13,1,2,75,2,1,2,1,3,AZVHR847NQRU,thanks for an enjoyable survey,38.967803955078,-122.64770507812,-1,
R_1QF1RkiQv13cChJ,Default Response Set,Anonymous,,,63.150.38.162,0,2015-10-01 04:17:10,2015-10-01 04:19:01,1,1,185,185,13,1,2,76,2,1,2,1,6,ADBE9ZCAGUID3,N9TT9G0AB7FQRANC,40.849899291992,-73.876899719238,-1,
R_1msFUG0mEKYsSy7,Default Response Set,Anonymous,,,66.84.198.67,0,2015-10-01 04:19:37,2015-10-01 04:23:03,1,1,185,185,13,1,1,70,5,1,2,1,6,A3MKD2ZBIM7XAI,N9TT9G0AB7FQRANC,39.078994750977,-86.617500305176,-1,
R_1QyALQd1GQ8CuwX,Default Response Set,Anonymous,,,162.202.193.65,0,2015-10-01 05:59:57,2015-10-01 06:05:43,1,1,185,46,46,3,1,74,5,1,2,1,6,A2FLC1C95OWCZJ,N9TT9G0AB7FQRANC,25.890502929688,-80.335296630859,-1,
R_2wLm13pPpdTSleL,Default Response Set,Anonymous,,,162.202.193.65,8,2015-10-01 06:14:51,2015-10-01 06:20:13,1,1,185,46,46,3,1,74,5,1,2,1,6,A2FLC1C95OWCZJ,N9TT9G0AB7FQRANC,25.890502929688,-80.335296630859,-1,
R_0urBkGWAnYYUtzz,Default Response Set,Anonymous,,,24.236.206.10,0,2015-10-01 06:44:49,2015-10-01 06:47:26,1,1,185,185,13,1,1,73,4,1,2,1,6,A3KRNMI82ZU4A,N9TT9G0AB7FQRANC,43.679702758789,-85.561897277832,-1,
R_r2Nxj0CtBUTRXfX,Default Response Set,Anonymous,,,112.133.229.101,0,2015-10-01 07:00:34,2015-10-01 07:05:21,1,1,78,78,49,4,1,75,3,1,2,1,3,ABPWNQ6VWH8OI,N9TT9G0AB7FQRANC,10.516693115234,76.216705322266,-1,
R_1QbGDHo23gba9FG,Default Response Set,Anonymous,,,24.243.246.141,0,2015-10-01 07:40:40,2015-10-01 07:43:52,1,1,185,185,13,1,2,77,2,1,2,1,6,AYJ6HFKHK8VHH,N9TT9G0AB7FQRANC,31.2001953125,-97.99210357666,-1,
R_2urh0SvChbzXKE6,Default Response Set,Anonymous,,,173.68.229.242,0,2015-10-01 08:36:10,2015-10-01 08:40:04,1,1,185,185,13,4,2,74,5,1,2,1,6,A3O8LNKBF84JY7,N9TT9G0AB7FQRANC,40.692001342773,-73.926803588867,-1,
R_1hTfOzlx3Ozhep2,Default Response Set,Anonymous,,,98.239.64.177,0,2015-10-01 08:46:59,2015-10-01 08:51:54,1,1,185,185,13,1,2,61,3,1,2,1,6, A27FLLK9CXL44X,N9TT9G0AB7FQRANC,36.792404174805,-119.76039886475,-1,
R_3kHvEWLDNvsGOZz,Default Response Set,Anonymous,,,74.197.231.219,0,2015-10-01 11:13:58,2015-10-01 11:18:18,1,1,185,185,13,1,2,56,2,,,1,3, ASU1VBL057JG,N9TT9G0AB7FQRANC,35.058303833008,-97.934700012207,-1,
